event_row_id,sample_id,trajectory_id,event_index,band,remaining_K_before,remaining_K_after,exit_distance,transition_k,R_drop,residue_pair_mod32,residue_pair_mod16,position_label,near_behavior,k_move_from_previous,wait_length,waiting_class,trajectory_behavior_class,next_destination,max_avoidance_depth,eventual_capture_bands,final_statuses
15783,Sample_A_baseline,2289,1,64-127,68,63,4,5,5,4->31,4->15,lower_hall,miss,up,1,direct_exit,no_exit_layer_observed,exit_to_32-63,2,4-7:2; 32-63:1; NA:1,eventually_reentered_exit_layer:caught:2; eventually_reentered_exit_layer:avoid_then_caught:1; no_avoidance_observed:1
18939,Sample_A_baseline,4578,2,64-127,68,63,4,5,5,4->31,4->15,lower_hall,miss,up,2,direct_exit,no_exit_layer_observed,exit_to_32-63,2,4-7:2; 32-63:1; NA:1,eventually_reentered_exit_layer:caught:2; eventually_reentered_exit_layer:avoid_then_caught:1; no_avoidance_observed:1
18941,Sample_A_baseline,4579,1,64-127,70,63,6,7,7,6->31,6->15,lower_hall,miss,up,1,direct_exit,no_exit_layer_observed,exit_to_32-63,2,4-7:2; 32-63:2,eventually_reentered_exit_layer:caught:2; eventually_reentered_exit_layer:avoid_then_caught:2
19367,Sample_B_next_range_550,4636,4,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,4,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 8-15:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
19371,Sample_B_next_range_550,4637,3,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,3,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 8-15:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
19376,Sample_B_next_range_550,4638,4,32-63,37,31,5,6,6,5->31,5->15,lower_hall,miss,up,4,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 8-15:1; 16-31:1,eventually_reentered_exit_layer:avoid_then_caught:4
19492,Sample_B_next_range_550,4647,4,32-63,36,31,4,5,5,4->31,4->15,lower_hall,miss,up,4,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 8-15:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
19905,Sample_B_next_range_550,4674,4,32-63,35,30,3,5,5,3->30,3->14,lower_hall,miss,up,4,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 16-31:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
19909,Sample_B_next_range_550,4675,3,32-63,35,30,3,5,5,3->30,3->14,lower_hall,miss,up,3,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 16-31:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
20336,Sample_B_next_range_550,4705,4,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,4,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 16-31:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
20525,Sample_B_next_range_550,4726,4,32-63,36,30,4,6,6,4->30,4->14,lower_hall,miss,up,4,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 16-31:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
20529,Sample_B_next_range_550,4727,3,32-63,36,30,4,6,6,4->30,4->14,lower_hall,miss,up,3,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 16-31:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
20552,Sample_B_next_range_550,4731,4,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,4,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 16-31:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
21592,Sample_B_next_range_550,4808,3,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,3,short_wait,no_exit_layer_observed,exit_to_16-31,1,16-31:2; 4-7:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
21597,Sample_B_next_range_550,4810,3,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,3,short_wait,no_exit_layer_observed,exit_to_16-31,1,16-31:2; 4-7:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
21603,Sample_B_next_range_550,4812,3,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,3,short_wait,no_exit_layer_observed,exit_to_16-31,1,16-31:2; 4-7:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
21606,Sample_B_next_range_550,4813,2,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,2,direct_exit,no_exit_layer_observed,exit_to_16-31,1,16-31:2; 4-7:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
21617,Sample_B_next_range_550,4814,10,32-63,36,31,4,5,5,4->31,4->15,lower_hall,miss,up,10,short_wait,no_exit_layer_observed,exit_to_16-31,3,16-31:2; 4-7:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
21627,Sample_B_next_range_550,4815,9,32-63,36,31,4,5,5,4->31,4->15,lower_hall,miss,up,9,short_wait,no_exit_layer_observed,exit_to_16-31,3,16-31:2; 4-7:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
21783,Sample_B_next_range_550,4827,21,32-63,36,31,4,5,5,4->31,4->15,lower_hall,miss,up,17,long_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 8-15:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
22497,Sample_B_next_range_550,4882,9,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,9,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 8-15:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
22506,Sample_B_next_range_550,4883,8,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,8,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 8-15:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
22612,Sample_B_next_range_550,4895,9,32-63,36,31,4,5,5,4->31,4->15,lower_hall,miss,up,9,short_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 8-15:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
24829,Sample_B_next_range_550,5065,7,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,7,short_wait,no_exit_layer_observed,exit_to_16-31,1,16-31:2; 4-7:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
24845,Sample_B_next_range_550,5070,15,32-63,36,31,4,5,5,4->31,4->15,lower_hall,miss,up,15,long_wait,no_exit_layer_observed,exit_to_16-31,3,16-31:2; 4-7:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
24860,Sample_B_next_range_550,5071,14,32-63,36,31,4,5,5,4->31,4->15,lower_hall,miss,up,14,long_wait,no_exit_layer_observed,exit_to_16-31,3,16-31:2; 4-7:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
25359,Sample_B_next_range_550,5118,26,32-63,35,30,3,5,5,3->30,3->14,lower_hall,miss,up,14,long_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 16-31:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
25374,Sample_B_next_range_550,5119,25,32-63,35,30,3,5,5,3->30,3->14,lower_hall,miss,up,14,long_wait,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 16-31:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
25490,Sample_B_next_range_550,5132,2,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,2,direct_exit,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 16-31:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
25492,Sample_B_next_range_550,5133,1,32-63,35,31,3,4,4,3->31,3->15,lower_hall,miss,up,1,direct_exit,no_exit_layer_observed,exit_to_16-31,3,4-7:2; 16-31:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
25557,Sample_B_next_range_550,5143,2,32-63,36,31,4,5,5,4->31,4->15,lower_hall,miss,up,2,direct_exit,no_exit_layer_observed,exit_to_16-31,3,16-31:2; 4-7:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
26729,Sample_B_next_range_550,4771,1,64-127,67,62,3,5,5,3->30,3->14,lower_hall,miss,up,1,direct_exit,no_exit_layer_observed,exit_to_32-63,2,4-7:2; 32-63:1; NA:1,eventually_reentered_exit_layer:avoid_then_caught:3; no_avoidance_observed:1
