compressed_route,count,probability,n_stages,start_state,end_state,miss_count,control_count,other_count,miss_rate
64-127|lower_edge_front|avoid_then_caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,1081,0.3930909090909091,5,64-127|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|caught,0,29,1052,0.0
32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,146,0.05309090909090909,4,32-63|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,0,0,146,0.0
64-127|lower_edge_front|avoid_then_caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,116,0.04218181818181818,5,64-127|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,0,1,115,0.0
32-63|near_exit_front|avoid -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,105,0.038181818181818185,4,32-63|near_exit_front|avoid,4-7|lower_edge_front|avoid_then_caught,62,0,43,1.0
32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,95,0.034545454545454546,4,32-63|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,0,0,95,0.0
128-255|lower_edge_front|avoid_then_caught -> 64-127|lower_edge_front|avoid_then_caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,90,0.03272727272727273,6,128-255|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|caught,0,10,80,0.0
32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,82,0.029818181818181817,4,32-63|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|caught,0,0,82,0.0
32-63|lower_edge_front|avoid_then_caught -> 16-31|lower_edge_front|avoid_then_caught -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,73,0.026545454545454546,4,32-63|lower_edge_front|avoid_then_caught,4-7|lower_edge_front|avoid_then_caught,0,0,73,0.0
16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|avoid_then_caught,53,0.01927272727272727,3,16-31|near_exit_front|avoid,4-7|lower_edge_front|avoid_then_caught,0,0,53,0.0
128-255|lower_edge_front|caught -> 64-127|lower_edge_front|avoid_then_caught -> 32-63|lower_edge_front|avoid_then_caught -> 16-31|near_exit_front|avoid -> 8-15|lower_edge_front|avoid -> 4-7|lower_edge_front|caught,49,0.01781818181818182,6,128-255|lower_edge_front|caught,4-7|lower_edge_front|caught,0,3,46,0.0
